slug,triplet_id,original_sentence
futsal-la,futsal-la_p0034_in,"In Long Beach, Sanchez no longer needs to tear down tennis nets; the city has done it for him. Three of the four tennis courts at DeForest Park were converted for futsal last summer. Two have a rubber-like playing surface, but Sanchez prefers the concrete court still etched with tennis lines because it cuts less skin if he falls."
leprosy-stigma,leprosy-stigma_p0003_the,"The stigma of leprosy endures in India, even though the country has made great strides against the disease, which is neither highly contagious nor fatal. Now the number of new annual cases has risen slightly after years of steady decline, and medical experts say the enormous fear surrounding leprosy is hindering efforts to finally eliminate it."
beef-labeling,beef-labeling_p0008_theyre,"""They're totally wrong — consumers have the right to know where products are from,"" said Joel Joseph, chairman of the Los Angeles-based Made in the USA Foundation, a group that promotes labeling and products manufactured in the United States. ""It's not forced speech. It's just consumer information, the same kind of information that's on a label of a new car that says where an engine's from."""
obama-islamic-state,obama-islamic-state_p0011_officials,"Officials said Obama plans to proceed with both the broader airstrikes in Iraq and the strikes in Syria without seeking new authorization from Congress. Instead, he is to act under a use-of-force authorization Congress passed in the days after 9/11 to give President George W. Bush the ability to go after those who perpetrated the terror attacks. Obama has previously called for that authorization to be repealed, but he has also used it as support for strikes against terror targets in Yemen and Somalia."
kennewick-skeleton,kennewick-skeleton_p0032_although,"Although the new study didn't deal directly with Kennewick Man, the findings raise questions about the fate of the skeleton that remains locked away at the University of Washington's Burke Museum."
satellite-movies,satellite-movies_p0025_traditionally,"Traditionally, it has been difficult and costly for theaters to secure permission from sports leagues to show big games in theaters. Television sports networks, which spend millions of dollars on licensing rights to broadcast games, may also balk at the concept."
tribe-marijuana,tribe-marijuana_p0022_a,"A lieutenant with the Yakama Nation tribal police force, Frederickson is one of the most skilled ""spotters"" in a multiagency task force aimed at getting rid of illegal pot statewide. Each year the team has been more successful. Each year the job has become more difficult, as growers with ties to Mexican cartels go to greater lengths to hide their efforts."
nba-stats,nba-stats_p0012_the,The NBA recently decided to pay for every team to have the system so that a complete data set would be available league-wide and selected information could be distributed to fans via NBA TV and NBA.com.
wildfire-deaths,wildfire-deaths_p0014_since,"Since the 1950s — until Sunday — only three other wildfires had claimed the lives of 10 or more firefighters, and each prompted changes in safety regulations and training."
obama-armenia,obama-armenia_p0009_after,"After the meeting with Armenian American groups, White House officials released a statement that did not use the word ""genocide."" The statement from National Security Council spokeswoman Bernadette Meehan said the United States would use the anniversary of the onset of the massacres to ""urge a full, frank and just acknowledgment of the facts that we believe is in the interest of all parties."""
colombia-indigenous,colombia-indigenous_p0003_uriana,"Uriana had helped arrange the marriage, also part of his function as palabrero, which translates as ""the word."" Uriana said that when it comes to matrimony, freedom of choice is anathema to Wayuu culture: ""All our marriages are arranged by the families and the couple has to live by that."""
lucy-qanda,lucy-qanda_p0002_donald,"Donald Johanson is the paleoanthropologist who found Lucy's remains in the Hadar area of central Ethiopia. He and his colleagues named the fossil after the Beatles song ""Lucy in the Sky With Diamonds,"" which played repeatedly the night he made the discovery."
juice-danger,juice-danger_p0020_i,"""I want people to eat more fiber,"" Slavin said, and that includes choosing whole fruits over juice."
physics-animation,physics-animation_p0012_the,"""The physics behind what's happening in these movies is incredibly complicated,"" said Paul Debevec, a computer scientist and chief visual officer at the USC Institute for Creative Technologies. ""You need real scientists to understand what's going on. These are Ph.D.-level folks who could have been publishing papers in Physics Today. Instead, they are working on Hollywood blockbuster films."""
government-shutdown,government-shutdown_p0009_congress,"Congress has failed to meet the deadline for approving spending bills 17 times since the 1970s, resulting in partial shutdowns lasting from one day to three weeks. The last time was for a 21-day stretch in December 1995 and January 1996 when some — but not all — spending bills had been signed into law."
lucy-qanda,lucy-qanda_p0023_a,"A: We have people who have planned expeditions to strategically target geological strata from the 2.5-million- to 3-million-year period in the Afar region of Ethiopia north of where Lucy was found, and in Kenya."
tribe-marijuana,tribe-marijuana_p0024_like,"Like most voters in and around the reservation, Frederickson said he opposed legalizing a substance he has worked so hard to get rid of."
satellite-movies,satellite-movies_p0017_the,"The new system significantly reduces the price of showing movies in theaters. Ten to 15 years ago, it cost about $2,500 to deliver a film print to a theater. By comparison, it costs about $200 to $250 to distribute digital hard drives to movie theaters, and significantly less — at least half the cost of shipping hard drives around the country by truck and plane — to deliver content via satellite."
winter-salt,winter-salt_p0004_after,"After a particularly nasty winter that isn't showing any signs of abating, states and counties across the country say their supplies of rock salt, which they use to make roads safe for drivers, are at an all-time low. Because the cold has spread over so much of the country, there's more demand than usual, stretching salt producers to capacity and forcing them to ration supplies. Some cities, such as Wichita, Kan., are so low on salt that they are choosing to salt only main roads, using sand for the rest."
class-sizes,class-sizes_p0029_but,"But if class-size reduction works because students change their behavior, wouldn't it work even better if teachers and principals changed what they're doing, too?"
selfdriving-future,selfdriving-future_p0019_people,"People will still want to own vehicles for various needs, he said. They might live in a rural area and travel long distances daily. They might have a big family to haul around. They might own a business that requires transporting supplies."
syria-inspectors,syria-inspectors_p0001_beirut,"BEIRUT — Delayed by a sniper attack, United Nations chemical weapons inspectors arrived Monday in one of the Syrian suburbs allegedly hit in a poison gas attack last week, visiting a pair of field hospitals and meeting with witnesses, the U.N. said."
confederate-flag,confederate-flag_p0019_former,"Former Florida Gov. Jeb Bush, and then-Secretary of State Katherine Harris, had a Confederate flag removed from the Florida state Capitol in 2001. At the time Bush said, ""I thought it was appropriate to take those flags down and put them in the museum where people can appreciate our heritage, but not have them fly as a symbol of what we are today as a state."""
us-climatechange,us-climatechange_p0007_this,"""This unrealistic plan, that the president would dump on his successor, would ensure higher utility rates and far fewer jobs,"" Senate Republican leader Mitch McConnell of Kentucky said in a statement."
firstlady-education,firstlady-education_p0001_washington,"WASHINGTON — With veterans of the civil rights movement at her side, first lady Michelle Obama said Friday that the most important issue facing blacks today is education."
ag-education,ag-education_p0012_classes,"Classes include animal science, plant and soil science, separate offerings of advanced animal and plant science, natural resources, and an introductory course. Some of the courses earn the students high school science credits."
juice-danger,juice-danger_p0004_raw,"Raw vegetable and fruit juices make up about 10 percent of sales at The Protein Bar, a Chicago-based chain of health food restaurants, said founder Matt Matros. His customers ask for juice, he said, because they believe it is an important part of their healthy diets."
confederate-flag,confederate-flag_p0005_sen,"Sen. Tim Scott, R-S.C., said the Confederate flag is part of the ""rich and provocative history"" of the state while also acknowledging that it also ""represents pain and oppression"" for some."
government-shutdown,government-shutdown_p0006_hundreds,"""Hundreds of thousands of government workers will not be working,"" said Brian Deese, deputy director of the Office of Management and Budget. ""Even those who are will not be receiving paychecks."""
obama-immigration-speech,obama-immigration-speech_p0020_this,"""This is a great day for farmworkers. It's been worth the pain and sacrifice,"" said Jesus Zuniga, a 40-year-old who picks tomatoes in California's Central Valley and watched the speech at a union gathering in Fresno."
britainclassroom-struggle,britainclassroom-struggle_p0020_few,"Few commentators had anything negative to say about Lee's beloved tale of a girl learning about racism and justice in the American South. Outraged fans of the book even got the hashtag ""#Mockingbird"" trending on Twitter after Gove's changes were announced."
us-climatechange,us-climatechange_p0011_the,"The deal arrives days after dozens of scientists, backed by the United Nations, issued a sweeping review of the latest research that says climate change is already affecting life on every continent and in the oceans, and the window is closing rapidly for governments to avert the worst damage expected to occur this century."
nba-stats,nba-stats_p0011_golden,"Golden State, Dallas, Boston, San Antonio, Houston and Oklahoma City were the first NBA teams to use the motion-tracking cameras, developed by STATS LLC, starting with the 2010-11 season. Last season 15 teams used the system."
arctic-waves,arctic-waves_p0004_the,"The Lance sailed east and around 80 kilometers from the small island of Hopen moored next to a large expanse of pack ice on May 2. Marchenko prepared to lead his class out onto the floe. ""We were ready to go but when I went out, I discovered many cracks around,"" he remembers. He decided to move the Lance deeper into the pack for safety. As he did so, the ship encountered small waves that grew in size over time — a surprise as even a little ice near the pack edges usually damps out waves. These waves then rapidly broke up the ice around the ship into thousands of smaller pieces."
ski-swat,ski-swat_p0027_he,"He pushed off down the slope. On the back of his navy blue jacket were the words ""Ski and Smile in Swat!"""
business-apprenticeships,business-apprenticeships_p0006_its,"It's a future with closer links among K-12 schools, community colleges and private employers, influenced by the European apprenticeship model. It's one where the ""college for all"" mantra yields to a recognition that for many students, training for skilled jobs is more meaningful than a four-year degree. And it's one where promising students can start earning right away — sometimes while they're in high school — rather than taking on college debt."
pierson-resignation,pierson-resignation_p0006_in,"In the latest potential threat, officials said, a private security guard armed with a pistol rode in an elevator with the president during a Sept. 16 visit to the Centers for Disease Control and Prevention in Atlanta for a briefing on Ebola, surprising Secret Service agents and violating agency rules over who can carry a weapon near him."
ukraine-poverty,ukraine-poverty_p0009_military,"Military experts note that Ukraine's list of needs presented to NATO in the standoff with Russia contained not only basic military items such as helmets, body armor and field radios but also camouflaged netting, tents, sleeping bags and ground cover tarps."
sweden-submarine,sweden-submarine_p0005_swedish,"Swedish military officials say there have been three sightings of the elusive craft since Friday. On Sunday, they released a photograph taken at a distance of what they said could be the mystery vessel — a dark speck surrounded by foaming water."
teen-tracking,teen-tracking_p0005_its,"""It's nice because it tells me what I'm doing wrong so I don't do it anymore,"" she said. It's only intrusive while it's recording, ""so in order not to feel that way, I drive well."""
cuba-entrepreneurs,cuba-entrepreneurs_p0011_on,"On the State Department's negative list of products that cannot be imported are sugar, tobacco and vegetables, prepared foods and beverages, spirits — sorry, no rum — machinery, electrical equipment, minerals, most chemical products, aircraft, vessels, arms and ammunition, and vehicles — precluding the importation of vintage cars."
ncharleston-mayor,ncharleston-mayor_p0014_all,"""All we wanted was the truth, and through the process we've received the truth,"" Anthony Scott, Walter's brother, said at a news conference. ""I don't think that all police officers are bad cops, but there are some bad ones out there."""
obama-immigration-speech,obama-immigration-speech_p0011_while,"While Obama's measures are sweeping in scope, they still leave more than half of the 11 million people living in the U.S. illegally in limbo. The president announced new deportation priorities that would compel law enforcement to focus its efforts on tracking down serious criminals and people who have recently crossed the border, while specifically placing a low priority on those who have been in the U.S. for more than 10 years."
concussion-academicproblems,concussion-academicproblems_p0001_new,"New research finds that after sustaining a mild traumatic brain injury, nearly 9 in 10 teens who have ongoing concussion symptoms also have academic problems related to headaches, fatigue and difficulty concentrating. And more than three-quarters of those who have yet to recover fully after four weeks report a decline in such academic skills as note-taking, studying and completing homework assignments."
warthog-plane,warthog-plane_p0022_as,"As good as the A-10 is in close-air support, the military classifies it as a single-role aircraft. That's the problem. Going forward, the Air Force has said it wants to rid itself of one-mission planes in favor of a fleet of multi-role aircraft. These jack-of-all-trades aircraft can blast apart enemies on the ground and in the sky."
government-shutdown,government-shutdown_p0005_social,"Social Security payments and passport and visa applications could be delayed. The National Institutes of Health could stop accepting patients for research. National parks, museums and monuments could close."
selfdriving-future,selfdriving-future_p0041_cars,"Cars will slowly, steadily take over more of the driving, Schwartz said."
satellite-movies,satellite-movies_p0018_about,About 75 percent of the screens from the nation's top three exhibitors have the ability to deliver movies and other entertainment via the satellite network.
