"slug","triplet_id","metaphor_span","selected","annotator_id"
"nigeria-president","nigeria-president_p0004_for","the mounting insurgency","","agent"
"tornado-drone","tornado-drone_p0023_for","the first step","","agent"
"china-pollutionapp","china-pollutionapp_p0003_the","made that information available","","agent"
"black-hole","black-hole_p0013_the","The jets","","agent"
"black-hole","black-hole_p0013_the","are not always on","","agent"
"black-hole","black-hole_p0013_the","is feeding","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","made great strides","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","has risen slightly","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","steady decline","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","hindering efforts","","agent"
"beef-labeling","beef-labeling_p0008_theyre","forced speech","","agent"
"obama-islamic-state","obama-islamic-state_p0011_officials","broader airstrikes","","agent"
"obama-islamic-state","obama-islamic-state_p0011_officials","act under a use-of-force authorization","","agent"
"obama-islamic-state","obama-islamic-state_p0011_officials","give President George W. Bush the ability","","agent"
"obama-islamic-state","obama-islamic-state_p0011_officials","used it as support","","agent"
"satellite-movies","satellite-movies_p0025_traditionally","broadcast games","","agent"
"tribe-marijuana","tribe-marijuana_p0022_a","aimed at","","agent"
"tribe-marijuana","tribe-marijuana_p0022_a","ties to Mexican cartels","","agent"
"tribe-marijuana","tribe-marijuana_p0022_a","hide their efforts","","agent"
"nba-stats","nba-stats_p0012_the","league-wide","","agent"
"nba-stats","nba-stats_p0012_the","distributed to fans","","agent"
"nba-stats","nba-stats_p0012_the","via NBA TV and NBA.com","","agent"
"obama-armenia","obama-armenia_p0009_after","urge","","agent"
"colombia-indigenous","colombia-indigenous_p0003_uriana","arrange the marriage","","agent"
"colombia-indigenous","colombia-indigenous_p0003_uriana","arranged by the families","","agent"
"physics-animation","physics-animation_p0012_the","behind what's happening in these movies","","agent"
"government-shutdown","government-shutdown_p0009_congress","partial shutdowns","","agent"
"lucy-qanda","lucy-qanda_p0023_a","strategically target geological strata","","agent"
"satellite-movies","satellite-movies_p0017_the","significantly reduces the price","","agent"
"satellite-movies","satellite-movies_p0017_the","deliver content via satellite","","agent"
"winter-salt","winter-salt_p0004_after","are at an all-time low","","agent"
"winter-salt","winter-salt_p0004_after","the cold has spread over so much of the country","","agent"
"winter-salt","winter-salt_p0004_after","stretching salt producers to capacity","","agent"
"winter-salt","winter-salt_p0004_after","to capacity","","agent"
"winter-salt","winter-salt_p0004_after","so low on salt","","agent"
"selfdriving-future","selfdriving-future_p0019_people","haul around","","agent"
"confederate-flag","confederate-flag_p0019_former","our heritage","","agent"
"us-climatechange","us-climatechange_p0007_this","dump on his successor","","agent"
"firstlady-education","firstlady-education_p0001_washington","civil rights movement","","agent"
"ag-education","ag-education_p0012_classes","advanced animal and plant science","","agent"
"ag-education","ag-education_p0012_classes","an introductory course","","agent"
"ag-education","ag-education_p0012_classes","earn the students high school science credits","","agent"
"ag-education","ag-education_p0012_classes","credits","","agent"
"juice-danger","juice-danger_p0004_raw","make up about 10 percent of sales","","agent"
"juice-danger","juice-danger_p0004_raw","chain of health food restaurants","","agent"
"juice-danger","juice-danger_p0004_raw","part of their healthy diets","","agent"
"confederate-flag","confederate-flag_p0005_sen","oppression","","agent"
"obama-immigration-speech","obama-immigration-speech_p0020_this","worth the pain and sacrifice","","agent"
"us-climatechange","us-climatechange_p0011_the","backed by the United Nations","","agent"
"us-climatechange","us-climatechange_p0011_the","a sweeping review","","agent"
"us-climatechange","us-climatechange_p0011_the","the window is closing rapidly","","agent"
"us-climatechange","us-climatechange_p0011_the","avert the worst damage","","agent"
"arctic-waves","arctic-waves_p0004_the","pack ice","","agent"
"arctic-waves","arctic-waves_p0004_the","deeper into the pack","","agent"
"arctic-waves","arctic-waves_p0004_the","grew in size over time","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","closer links among K-12 schools, community colleges and private employers","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","the European apprenticeship model","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","yields to a recognition","","agent"
"ukraine-poverty","ukraine-poverty_p0009_military","standoff with Russia","","agent"
"teen-tracking","teen-tracking_p0005_its","it tells me","","agent"
"ncharleston-mayor","ncharleston-mayor_p0014_all","through the process","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","sweeping in scope","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","in limbo","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","focus its efforts on","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","tracking down","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","placing a low priority on","","agent"
"concussion-academicproblems","concussion-academicproblems_p0001_new","a decline in such academic skills","","agent"
"warthog-plane","warthog-plane_p0022_as","single-role aircraft","","agent"
"warthog-plane","warthog-plane_p0022_as","one-mission planes","","agent"
"warthog-plane","warthog-plane_p0022_as","multi-role aircraft","","agent"
"warthog-plane","warthog-plane_p0022_as","jack-of-all-trades aircraft","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","take over","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","Cars will slowly, steadily take over more of the driving","","agent"
"satellite-movies","satellite-movies_p0018_about","top three exhibitors","","agent"
"satellite-movies","satellite-movies_p0018_about","deliver movies and other entertainment","","agent"
