"slug","triplet_id","metaphor_span","selected","annotator_id"
"satellite-movies","satellite-movies_p0015_the","The digital delivery of movies","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","fashioned a sentence","","agent"
"affluenza-trial","affluenza-trial_p0019_scott","under the thumb of the justice system","","agent"
"warthog-plane","warthog-plane_p0029_the","direct and indirect jobs","","agent"
"ag-education","ag-education_p0005_along","That spike","","agent"
"ag-education","ag-education_p0005_along","a haven for farm kids","","agent"
"ag-education","ag-education_p0005_along","on a long-term downward trend","","agent"
"ag-education","ag-education_p0005_along","shrinking another 4 percent","","agent"
"winter-salt","winter-salt_p0012_some","their use has been surging","","agent"
"ferguson-museum","ferguson-museum_p0017_the","get a clearer picture","","agent"
"ferguson-museum","ferguson-museum_p0017_the","a clearer picture of what actually happened","","agent"
"foodstamps-doctors","foodstamps-doctors_p0016_how","are eyeing about $800 million a year in cuts","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","Multiple pathways to adulthood","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","shaping those paths","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","develop the next generation of workers","","agent"
"business-apprenticeships","business-apprenticeships_p0008_the","transition to adulthood","","agent"
"chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012","","agent"
"chinese-teachers","chinese-teachers_p0027_the","The number of students who take the AP Chinese exam grew from 3,261 in 2007 to 9,357 in 2012","","agent"
"pearlharbor-survivors","pearlharbor-survivors_p0003_i","time to go","","agent"
"nigeria-president","nigeria-president_p0004_for","a powerful patronage network","","agent"
"nigeria-president","nigeria-president_p0004_for","A sense of futility wore on Nigerians","","agent"
"nigeria-president","nigeria-president_p0004_for","the country's embattled north","","agent"
"tornado-drone","tornado-drone_p0023_for","the first step","","agent"
"black-hole","black-hole_p0013_the","The jets are not always on","","agent"
"black-hole","black-hole_p0013_the","are not always on","","agent"
"black-hole","black-hole_p0013_the","the black hole is feeding","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","has made great strides against the disease","","agent"
"leprosy-stigma","leprosy-stigma_p0003_the","is hindering efforts to finally eliminate it","","agent"
"beef-labeling","beef-labeling_p0008_theyre","forced speech","","agent"
"beef-labeling","beef-labeling_p0008_theyre","speech","","agent"
"obama-islamic-state","obama-islamic-state_p0011_officials","act under a use-of-force authorization","","agent"
"tribe-marijuana","tribe-marijuana_p0022_a","ties to Mexican cartels","","agent"
"tribe-marijuana","tribe-marijuana_p0022_a","hide their efforts","","agent"
"nba-stats","nba-stats_p0012_the","be distributed","","agent"
"nba-stats","nba-stats_p0012_the","be distributed to fans via NBA TV and NBA.com","","agent"
"colombia-indigenous","colombia-indigenous_p0003_uriana","is anathema to Wayuu culture","","agent"
"physics-animation","physics-animation_p0012_the","The physics behind what's happening in these movies","","agent"
"government-shutdown","government-shutdown_p0009_congress","partial shutdowns","","agent"
"government-shutdown","government-shutdown_p0009_congress","21-day stretch","","agent"
"lucy-qanda","lucy-qanda_p0023_a","target geological strata","","agent"
"satellite-movies","satellite-movies_p0017_the","deliver content via satellite","","agent"
"winter-salt","winter-salt_p0004_after","the cold has spread over so much of the country","","agent"
"winter-salt","winter-salt_p0004_after","stretching salt producers to capacity","","agent"
"selfdriving-future","selfdriving-future_p0019_people","a big family to haul around","","agent"
"us-climatechange","us-climatechange_p0007_this","dump on his successor","","agent"
"firstlady-education","firstlady-education_p0001_washington","veterans of the civil rights movement","","agent"
"firstlady-education","firstlady-education_p0001_washington","facing blacks today","","agent"
"juice-danger","juice-danger_p0004_raw","chain of health food restaurants","","agent"
"obama-immigration-speech","obama-immigration-speech_p0020_this","It's been worth the pain and sacrifice","","agent"
"us-climatechange","us-climatechange_p0011_the","a sweeping review","","agent"
"us-climatechange","us-climatechange_p0011_the","the window is closing rapidly","","agent"
"arctic-waves","arctic-waves_p0004_the","pack ice","","agent"
"arctic-waves","arctic-waves_p0004_the","deeper into the pack","","agent"
"arctic-waves","arctic-waves_p0004_the","the pack edges","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","a future with closer links among K-12 schools, community colleges and private employers","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","closer links among K-12 schools, community colleges and private employers","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","""college for all"" mantra","","agent"
"business-apprenticeships","business-apprenticeships_p0006_its","yields to","","agent"
"ukraine-poverty","ukraine-poverty_p0009_military","the standoff with Russia","","agent"
"teen-tracking","teen-tracking_p0005_its","it tells me what I'm doing wrong","","agent"
"teen-tracking","teen-tracking_p0005_its","It's only intrusive while it's recording","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","sweeping in scope","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","in limbo","","agent"
"obama-immigration-speech","obama-immigration-speech_p0011_while","tracking down","","agent"
"warthog-plane","warthog-plane_p0022_as","These jack-of-all-trades aircraft","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","Cars will slowly, steadily take over more of the driving","","agent"
"selfdriving-future","selfdriving-future_p0041_cars","take over more of the driving","","agent"
"satellite-movies","satellite-movies_p0018_about","deliver movies and other entertainment","","agent"
