"idx","slug","triplet_id","sentence","expression","source_domain","target_domain","a1_reasoning","a2_is_inferential","a2_reasoning","a3_span","a3_substring_verified","a4_keep","a4_confidence","a4_reasoning","in_final_result"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","deeper problems","physical depth/layers below a surface","underlying or fundamental social issues","""Deeper"" literally refers to vertical depth, but here it suggests problems that are more rooted, hidden, or fundamental.","True","The source domain of physical depth and layers beneath a surface remains active here. It helps the reader infer that the visible incident sits above more fundamental, underlying issues in policing. This contributes to understanding structure and causal depth, not just evaluation, because it frames the event as connected to hidden systemic layers.","bigger and deeper problems","True","True","low","""Bigger"" is fairly conventional, but ""deeper"" still suggests a spatial model of underlying layers or root causes. In context, it contributes to understanding the problems as more fundamental rather than merely more severe, so it is worth keeping at this stage.","True"
"27","ncharleston-mayor","ncharleston-mayor_p0020_the","The protesters — vocal but relatively small in number — insisted that the shooting was symptomatic of bigger and deeper problems in local policing. But they insisted that demonstrations must remain peaceful.","remain peaceful","staying in place or remaining in a physical state","continuing in a nonviolent condition over time","""Remain"" can evoke staying or continuing in a state; here it is used for the ongoing character of demonstrations rather than physical location.","False","This is not a strong cross-domain inferential metaphor in context. 'Remain' functions as ordinary vocabulary for continuing in a state, and the phrase simply instructs that demonstrations continue to be nonviolent. It does not provide a source-domain model that helps explain causal or structural relations.","","","","","","False"
"32","obama-armenia","obama-armenia_p0022_obama","Obama, as a senator and a candidate for president, supported using the term to describe the killings and criticized the George W. Bush administration for not doing so.","supported","physical support / holding something up","approval or backing in politics and public discourse","Here 'supported' does not mean literally bearing weight; it means endorsing or backing a position about wording.","False","Although 'support' historically comes from physical holding up, in this political context it functions as highly conventional, near-dead vocabulary for approval or backing. A modern reader usually does not actively imagine physical support here. It also does not help explain cause, structure, direction, or system dynamics; it simply states Obama's stance.","","","","","","False"
"32","obama-armenia","obama-armenia_p0022_obama","Obama, as a senator and a candidate for president, supported using the term to describe the killings and criticized the George W. Bush administration for not doing so.","using the term","tool use / handling an object or instrument","employing a word or label in language","The phrase treats a linguistic expression as something that can be 'used' like a tool or instrument.","False","The verb 'use' can derive from tool handling, but in 'using the term' this is ordinary lexical usage rather than an active cross-domain image. Readers typically do not picture a word as a physical instrument in a way that informs reasoning. It does not explain how the killings or the political situation work; it only refers to employing a label.","","","","","","False"
"32","obama-armenia","obama-armenia_p0022_obama","Obama, as a senator and a candidate for president, supported using the term to describe the killings and criticized the George W. Bush administration for not doing so.","describe the killings","depicting, outlining, or representing something perceptible","verbally characterizing events","The verb 'describe' can extend from physical or visual representation to the linguistic framing of events, making it a plausible metaphorical candidate.","False","'Describe' here is standard vocabulary for verbally characterizing events, not a clearly active metaphor with perceivable source-domain imagery. It does not provide a model of causation, structure, direction, or relational dynamics. It simply indicates the act of characterizing the killings in language.","","","","","","False"
"1","bison-grandcanyon","bison-grandcanyon_p0001_washington","WASHINGTON — Federal officials are trying to figure out how to control a herd of about 350 bison that is roaming the North Rim of the Grand Canyon and damaging vegetation and water sources there.","figure out","visualizing, calculating, or forming a figure/shape","understanding or solving a policy/problem-management issue","The phrase uses language of making or perceiving a figure to describe mental comprehension and problem solving.","False","This is a highly conventional idiom for understanding or solving something. Most modern readers do not actively perceive a source-domain image of making or seeing a figure/shape here. It also does not add structural, causal, directional, or system-level insight into how bison management works; it simply states that officials are trying to understand the problem.","","","","","","False"
"1","bison-grandcanyon","bison-grandcanyon_p0001_washington","WASHINGTON — Federal officials are trying to figure out how to control a herd of about 350 bison that is roaming the North Rim of the Grand Canyon and damaging vegetation and water sources there.","control","physical restraint or operation of an object/animal","managing a wildlife population and its effects","The verb can extend from literal hands-on restraint to broader administrative or ecological management.","False","In this sentence the word is close to literal rather than cross-domain: officials want to manage or restrain an actual herd of animals. Because the source domain of physical restraint is not being mapped onto a clearly different target domain, it does not function as an inferential metaphor here. It does indicate intended management, but not via a metaphor that helps the reader reason about a different domain.","","","","","","False"
"1","bison-grandcanyon","bison-grandcanyon_p0001_washington","WASHINGTON — Federal officials are trying to figure out how to control a herd of about 350 bison that is roaming the North Rim of the Grand Canyon and damaging vegetation and water sources there.","North Rim","the rim or lip of a vessel, wheel, or other bounded object","the edge of a geographic landform","""Rim"" is originally an object-edge term that is applied to the boundary of the canyon.","True","The source image of a rim or lip of an object is still perceivable to a modern reader, and it is applied to the edge of a geographic landform. This mapping helps the reader understand the structure and spatial relation of the area: the bison are roaming along the canyon's upper edge on the northern side. It is not merely expressive; it contributes to reasoning about the physical configuration of the place.","North Rim","True","False","high","""Rim"" in this geographic phrase is a conventional topographic term for the edge of the canyon, not an actively perceived cross-domain mapping. It does describe location/structure, but as dead vocabulary rather than an inferential metaphor shaping reasoning.","False"
"26","weapons-georgiaschools","weapons-georgiaschools_p0012_officials","Officials called the mass shooting a turning point for school safety.","called","naming or vocal address","assigning an interpretation or label to an event","Literally, to call is to utter a name or address someone; here it is used to mean characterizing the shooting in a particular way.","False","This is essentially literal/reporting language for assigning a label or interpretation. Even if it originates in speech/naming, modern readers do not typically experience a strong cross-domain image here, and it does not help explain cause, structure, direction, or system dynamics. It reports an official characterization rather than offering a metaphor for how school safety developments work.","","","","","","False"
"26","weapons-georgiaschools","weapons-georgiaschools_p0012_officials","Officials called the mass shooting a turning point for school safety.","a turning point for school safety","travel or movement along a path, where direction changes at a turn","the course of school safety policy, awareness, or response","The phrase treats school safety as if it were moving along a path whose direction can change because of a major event.","True","The movement/path source domain is still clearly perceivable: a journey reaches a point where it turns and proceeds in a new direction. That imagery helps readers infer structure and direction in the abstract domain of school safety policy or public response. It suggests the shooting caused a change in the course of events, not merely that it was important, so it supports reasoning about how the situation develops.","a turning point for school safety","True","True","high","This uses a path/direction source domain to frame school safety as moving along a trajectory that changes course at a specific moment. The imagery is still active enough to support reasoning about structural change and future direction, not just emphasis.","True"
"26","weapons-georgiaschools","weapons-georgiaschools_p0012_officials","Officials called the mass shooting a turning point for school safety.","turning point","physical navigation or motion on a route","a decisive moment in an abstract social or policy process","This conventional metaphor describes an important event as if it were a place on a path where movement changes direction.","True","A modern reader can still perceive the underlying path-and-direction imagery. The metaphor is inferential because it frames the event as a moment where an ongoing process changes course, which helps explain system dynamics and directional change in policy, awareness, or institutional response. It does more than add emphasis; it suggests how one event can redirect an unfolding process.","turning point","True","True","high","Though common, this is not clearly dead vocabulary here: it evokes a point on a path where direction shifts. It helps the reader infer a causal and directional change in the development of school safety policy or understanding.","True"
"26","weapons-georgiaschools","weapons-georgiaschools_p0012_officials","Officials called the mass shooting a turning point for school safety.","point","physical location or geometric point in space","a moment or stage in a social development","It may be metaphorical because it conceptualizes an event in the development of school safety as a spatially locatable point.","False","On its own, ""point"" is too dead or abstracted here to function as an active inferential metaphor. While it historically relates to a physical location in space, modern readers usually do not rely on that imagery to understand this sentence. The inferential force comes from the full expression ""turning point,"" not from ""point"" by itself, so this candidate should be excluded.","","","","","","False"
"30","confederate-flag","confederate-flag_p0013_former","Former Sen. Rick Santorum, R-Pa., said Sunday on ABC's ""This Week"" that ""I don't think the federal government or federal candidates should be making decisions on everything, opining on everything. This is a decision that needs to be made here in South Carolina.""","making decisions on everything","manufacturing or creation","political judgment and governance","The verb ""making"" literally refers to producing something tangible, but here it is used for forming abstract policy choices.","False","""Make a decision"" comes historically from physical creation, but in current English it functions as a highly conventional light-verb expression. Most modern readers do not actively picture manufacturing or creation here. It also does not help explain the causal structure or system dynamics of governance; it simply states that officials decide things.","","","","","","False"
"30","confederate-flag","confederate-flag_p0013_former","Former Sen. Rick Santorum, R-Pa., said Sunday on ABC's ""This Week"" that ""I don't think the federal government or federal candidates should be making decisions on everything, opining on everything. This is a decision that needs to be made here in South Carolina.""","opining on everything","speech or commentary","political involvement across issues","This frames political action in terms of issuing opinions, which can be read as figuratively reducing governing activity to commentary.","False","This is basically literal language about expressing opinions. There is no clear cross-domain mapping from a distinct source domain that helps the reader reason about how the political system works. It describes behavior, not structure, cause, direction, or relational dynamics through metaphor.","","","","","","False"
"30","confederate-flag","confederate-flag_p0013_former","Former Sen. Rick Santorum, R-Pa., said Sunday on ABC's ""This Week"" that ""I don't think the federal government or federal candidates should be making decisions on everything, opining on everything. This is a decision that needs to be made here in South Carolina.""","decision that needs to be made","manufacturing or creation","abstract choice or political judgment","A decision is treated as something that can be ""made,"" importing production language into the domain of choosing.","False","Like ""make a decision,"" this is a very dead, conventional expression. The creation/manufacturing imagery is not meaningfully active for most readers, and the phrase does not provide an inferential model of political process or jurisdiction. It just refers to choosing.","","","","","","False"
"30","confederate-flag","confederate-flag_p0013_former","Former Sen. Rick Santorum, R-Pa., said Sunday on ABC's ""This Week"" that ""I don't think the federal government or federal candidates should be making decisions on everything, opining on everything. This is a decision that needs to be made here in South Carolina.""","here in South Carolina","physical location or space","jurisdictional or political authority","The geographic location is used to indicate the proper locus of political decision-making, extending spatial language to institutional control.","False","This is primarily a literal location phrase. While the sentence implies local jurisdiction or state authority, that effect is closer to literal reference or metonymy than an active cross-domain metaphor. It does not use source-domain imagery to explain how the system works; it simply identifies the place where the decision should occur.","","","","","","False"
"42","syria-inspectors","syria-inspectors_p0007_during","During their visit, Ban said, the inspectors traveled to two field hospitals and interviewed witnesses, survivors and doctors, taking statements while also collecting unspecified ""samples.""","their visit","social calling / visiting people or places","an official inspection or diplomatic mission","The term can frame a formal investigative trip as a kind of social visit, extending everyday visitation language to official activity.","False","""Visit"" can extend from ordinary social calling to an official trip, but here that extension is highly conventional and does not strongly activate source-domain imagery. More importantly, it does not help the reader infer cause, structure, direction, or system dynamics of the inspection; it just labels the event as a trip.","","","","","","False"
"42","syria-inspectors","syria-inspectors_p0007_during","During their visit, Ban said, the inspectors traveled to two field hospitals and interviewed witnesses, survivors and doctors, taking statements while also collecting unspecified ""samples.""","field hospitals","open terrain / battlefield field","temporary or mobile medical facilities","The word ""field"" literally names a type of physical terrain; in this compound it is extended to classify hospitals operating in a military or temporary setting.","True","The source domain of a hospital in the field/battlefield is still readily perceivable to a modern reader. That imagery helps the reader infer how these hospitals are structured and operate: as temporary, improvised, mobile, or conflict-zone medical facilities rather than standard permanent hospitals. So it contributes structural understanding, not just emphasis.","field hospitals","True","False","high","""Field hospital"" is a conventional term for a temporary/mobile medical facility, especially in war or disaster settings. Any original imagery from literal fields or battlefields is largely lexicalized here, and the phrase functions as a standard label rather than an active cross-domain mapping that helps the reader infer causal or structural relations.","False"
"42","syria-inspectors","syria-inspectors_p0007_during","During their visit, Ban said, the inspectors traveled to two field hospitals and interviewed witnesses, survivors and doctors, taking statements while also collecting unspecified ""samples.""","taking statements","physically taking or grasping objects","obtaining or recording verbal testimony","""Taking"" is a physical-action verb applied to spoken accounts, treating testimony as something that can be grasped or acquired like an object.","False","""Take"" in the sense of obtaining testimony is a very conventional light verb, and the physical grasping source domain is weak or effectively dead here. The phrase does not help explain how testimony works in any inferential sense beyond ordinary procedural description, so it does not add causal or structural understanding.","","","","","","False"
"42","syria-inspectors","syria-inspectors_p0007_during","During their visit, Ban said, the inspectors traveled to two field hospitals and interviewed witnesses, survivors and doctors, taking statements while also collecting unspecified ""samples.""","collecting unspecified ""samples.""","gathering physical objects into a collection; representative specimens","evidence-gathering in an investigation","Even if actual specimens were involved, the phrasing can extend collection language to investigative evidence, and the quotation marks around ""samples"" suggest a possibly non-literal or euphemistic use.","False","In this context, ""samples"" are most naturally literal physical specimens, so ""collecting"" is also primarily literal rather than a cross-domain mapping. Even if one senses some extension toward evidence-gathering, it does not substantially contribute inferential reasoning about cause, structure, direction, or system relations.","","","","","","False"
"36","class-sizes","class-sizes_p0013_project","Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results.","Project STAR","celestial bodies / stars, or the idea of a ""star"" as something outstanding","the naming and framing of an educational research project","The project name uses ""STAR,"" which may do more than serve as an acronym by invoking brightness, prominence, or excellence associated with stars.","False","This is primarily a project name/acronym, not a metaphor that helps explain the study's structure, causes, direction, or system dynamics. Even if readers notice the positive or celestial associations of ""STAR,"" those associations do not help them infer how the research project works.","","","","","","False"
"36","class-sizes","class-sizes_p0013_project","Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results.","was conducted","leading, directing, or conducting movement/performance","carrying out a research study","A study is not literally led like a group or an orchestra; the verb extends a guidance/directing frame to research activity.","False","Although ""conducted"" historically evokes leading or directing, in this context it is highly conventional research vocabulary. The source-domain imagery is weak for most modern readers, and it does not add inferential structure about how the study works beyond simply saying it was carried out.","","","","","","False"
"36","class-sizes","class-sizes_p0013_project","Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results.","involved more than 1,200 teachers and almost 12,000 students","physical entanglement, inclusion, or drawing something into a situation","participation in a study","The teachers and students were not literally wrapped up or entangled; the verb applies a physical/inclusion sense to research participation.","False","""Involved"" may etymologically relate to physical entanglement or drawing in, but that imagery is largely dead here. The phrase mainly states participation and scale; it does not actively help the reader reason about causal or structural relations in the study.","","","","","","False"
"36","class-sizes","class-sizes_p0013_project","Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results.","set up the experiment","physically arranging, assembling, or erecting objects/structures","designing and organizing a scientific study","The experiment is treated like something that can be physically put in place, though the intended meaning is planning and organizing it.","True","The physical-arrangement source domain is still perceivable: readers can understand ""set up"" as assembling or arranging parts into a workable structure. That mapping helps explain how the experiment came into being—its design and organization—so it contributes inferentially to understanding the study's structure.","helped set up the experiment","True","False","high","""Set up"" here is a highly conventional phrasal verb meaning organize/establish. The physical source sense is not actively perceived, and the phrase does not add inferential structure beyond the literal idea of preparing the experiment.","False"
"36","class-sizes","class-sizes_p0013_project","Project STAR (Student Teacher Achievement Ratio) was conducted in Tennessee from 1985 to 1989 and involved more than 1,200 teachers and almost 12,000 students, according to Jeremy Finn, of the University at Buffalo (State University of New York), a statistician who helped set up the experiment and publish its results.","publish its results","printing or making physical texts public","disseminating abstract research findings","Results are abstract information, but the verb comes from making written materials publicly available, extending that concrete domain to findings.","False","This is standard academic vocabulary for making findings public. Any original imagery of physically producing texts is weak here, and the phrase does not help the reader infer the causal structure or mechanics of the research itself; it only describes dissemination.","","","","","","False"
"23","military-recruiting","military-recruiting_p0003_so","So Hoard tells them long before graduation day: Don't ever get caught with a joint. Work out, shed weight. And be extra careful about getting tattooed.","long before graduation day","physical space and distance/orientation","time relative to an event","It uses spatial language like ""long"" and ""before"" to locate something in time, reflecting the common TIME AS SPACE metaphor.","False","Although this ultimately rests on a space-to-time mapping, 'before' is highly conventional temporal vocabulary and most modern readers do not actively experience strong spatial imagery here. It mainly locates the advice in time rather than helping the reader reason about cause, structure, direction, or system dynamics.","","","","","","False"
"23","military-recruiting","military-recruiting_p0003_so","So Hoard tells them long before graduation day: Don't ever get caught with a joint. Work out, shed weight. And be extra careful about getting tattooed.","get caught with a joint","physical capture or trapping","being discovered or apprehended while possessing marijuana","""Caught"" can extend from literal physical capture to detection by authorities or others, so the phrase may map capture language onto legal/social discovery.","False","The capture/trapping source domain is still faintly available in 'caught,' but in this context the phrase functions mostly as a conventional way to mean 'be discovered/apprehended.' It does not substantially explain how the system works or illuminate causal or structural relations; it mainly warns against an outcome.","","","","","","False"
"23","military-recruiting","military-recruiting_p0003_so","So Hoard tells them long before graduation day: Don't ever get caught with a joint. Work out, shed weight. And be extra careful about getting tattooed.","Work out","labor, working, or mechanical operation","physical exercise and body conditioning","The phrase treats exercise as a kind of ""work"" done on or by the body, extending labor language to fitness activity.","False","Here 'work out' is effectively lexicalized as ordinary vocabulary for exercising. The original labor/operation source domain is not strongly perceived, and the phrase does not help the reader infer causal structure or system dynamics beyond simply naming the activity.","","","","","","False"
"23","military-recruiting","military-recruiting_p0003_so","So Hoard tells them long before graduation day: Don't ever get caught with a joint. Work out, shed weight. And be extra careful about getting tattooed.","shed weight","animals/plants discarding skin, fur, leaves, or a burden being dropped","losing body mass","It describes weight loss as if excess weight were an outer layer or load that can be cast off.","True","The source imagery of shedding or dropping something is still readily perceivable to a modern reader. That imagery helps frame weight loss as removal of excess bodily mass, giving a directional understanding of change and a simple mechanistic model of how the desired transformation works. It therefore contributes inferential structure rather than mere emphasis.","shed weight","True","True","medium","""Shed"" invokes an active source domain of sloughing off or dropping a layer (as with skin, leaves, or hair), not just pure literal body change. It frames weight as removable excess, giving a directional understanding of weight loss rather than mere emphasis. Though somewhat conventional, it still plausibly carries active imagery, so it should be kept at this stage.","True"
"14","osprey-makeover","osprey-makeover_p0020_still","Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting.","the Osprey","bird/animal flight","military aircraft","The aircraft is referred to by a bird name, bringing animal/avian imagery into the domain of machines.","False","Although a modern reader can recognize the bird name behind the aircraft's proper name, in this sentence it functions mainly as a label for a specific military aircraft. The bird source domain does not actively help the reader infer the aircraft's structure, causal behavior, or system dynamics here.","","","","","","False"
"14","osprey-makeover","osprey-makeover_p0020_still","Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting.","persistent critic","physical endurance or continued presence over time","a person's ongoing pattern of criticism","""Persistent"" literally evokes something that keeps going or remains present, and here it describes sustained opposition rather than a physical presence.","False","The idea of persistence still faintly suggests endurance over time, but this use is highly conventional and mainly describes McCain's repeated criticism. It does not meaningfully help the reader reason about cause, structure, direction, or how any system works.","","","","","","False"
"14","osprey-makeover","osprey-makeover_p0020_still","Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting.","maintain","physical holding up or keeping something in place","servicing and keeping an aircraft operational","The verb can draw on a sense of physically sustaining or holding something steady, applied here to ongoing upkeep of a complex machine.","False","This is largely dead/technical vocabulary in this context: readers understand 'maintain' as servicing equipment, not as actively imagining physically holding something up. It contributes factual content, but not a perceivable cross-domain mapping that explains causal or structural dynamics.","","","","","","False"
"14","osprey-makeover","osprey-makeover_p0020_still","Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting.","harsh operating environments","rough tactile qualities or severe treatment","difficult environmental/operational conditions","""Harsh"" literally describes roughness or severity and is extended here to climate and field conditions.","True","The tactile/source-domain sense of 'harsh' as rough, severe, or abrasive is still perceivable. Applied to operating environments, it helps the reader infer a causal relationship: punishing conditions make the aircraft harder and more expensive to maintain. That gives explanatory leverage about how the maintenance problem arises.","harsh operating environments","True","False","high","This reads as conventional technical description rather than an active cross-domain metaphor. 'Operating environment' is standard jargon for the conditions in which equipment functions, and 'harsh' here is a routine adjective for severe physical conditions. The phrase conveys literal maintenance-relevant circumstances, not a source-domain mapping that structures deeper reasoning.","False"
"14","osprey-makeover","osprey-makeover_p0020_still","Still, the Osprey is expensive — $122.5 million each, according to Sen. John McCain, R-Ariz., a persistent critic — and it isn't cheap to maintain, particularly in harsh operating environments such as the extravagantly dusty south of Afghanistan, where the Marines have been fighting.","extravagantly dusty","lavish or excessive spending/expenditure","the degree or abundance of dust in a place","""Extravagantly"" normally belongs to a domain of excess consumption or display, and here it intensifies a physical condition.","False","The source domain of lavish excess is still somewhat available, but here it mainly serves as emphatic intensification for the amount of dust. It does not itself explain structure, direction, or system-level dynamics; the causal inference comes from the dustiness, not from the metaphorical wording 'extravagantly.'","","","","","","False"
"18","halloween-biz","halloween-biz_p0018_its","""It's more of a social holiday now, with 'social' meaning that people not only are enjoying Halloween with one another but sending it out to the world.""","a social holiday","human social interaction and social relations","the character of Halloween as a holiday","'Social' literally describes relations among people, but here it is applied to the holiday itself, extending an interpersonal property to an event.","False","This does not clearly involve an active cross-domain metaphor. 'Social' here is close to a literal description of a holiday centered on people interacting with one another, not a source-domain image being projected onto Halloween. It also does not strongly help the reader reason about cause, structure, direction, or system dynamics; it mainly labels the kind of holiday Halloween has become.","","","","","","False"
